Metric,V4_No_Filter,Buy_Hold
Initial_Capital,1000000.0,1000000
Final_Value,1578797.0499999998,1578524.6357069884
Total_Return_Pct,57.87970499999998,57.852463570698845
Annualized_Return_Pct,26.58700111741179,26.575724359119015
Sharpe_Ratio,1.2755403249493558,1.0968257607016825
Max_Drawdown_Pct,-22.876189955186923,-28.693158639001272
Trades,6.0,N/A
Win_Rate_Pct,50.0,N/A
Avg_Return_Pct,10.416146358962388,N/A
Avg_Hold_Days,66.83333333333333,N/A
