buy_date,buy_price,sell_date,sell_price,return,profit,hold_days
2024-01-03,17559.31,2024-07-05,23556.59,0.341544172293786,305861.28,120
2024-07-09,23900.08,2024-08-02,21638.09,-0.09464361625567785,-110837.51000000024,16
2024-08-05,19830.88,2025-02-06,23316.6,0.17577233082949406,188228.8799999999,120
2025-02-25,23285.72,2025-03-31,20695.9,-0.11121923651061683,-137260.45999999996,23
2025-04-01,21280.17,2025-04-07,19232.35,-0.09623137409146632,-106486.6399999999,2
2025-04-08,18459.95,2025-09-25,26023.85,0.4097465052722242,416014.5,120
