Metric,V4_No_Filter,Buy_Hold
Initial_Capital,1000000.0,1000000
Final_Value,1576595.31,1590742.2302080907
Total_Return_Pct,57.65953100000001,59.07422302080907
Annualized_Return_Pct,26.45384512897064,27.037548904956864
Sharpe_Ratio,1.2197828725505684,1.113309386571866
Max_Drawdown_Pct,-23.77917660595619,-28.693158639001272
Trades,6.0,N/A
Win_Rate_Pct,50.0,N/A
Avg_Return_Pct,8.964616949569248,N/A
Avg_Hold_Days,67.66666666666667,N/A
