buy_date,buy_price,sell_date,sell_price,return,profit,hold_days
2024-01-03,17559.31,2024-07-05,23556.59,0.341544172293786,305861.28,120
2024-07-18,23398.47,2024-08-05,19830.88,-0.15247108037405865,-178379.5,10
2024-08-06,20501.02,2025-02-07,23478.27,0.1452244815136028,145885.25,120
2025-02-10,23252.14,2025-03-31,20695.9,-0.10993568763993322,-125255.75999999978,34
2025-04-01,21280.17,2025-04-07,19232.35,-0.09623137409146632,-98295.35999999999,2
2025-04-08,18459.95,2025-09-25,26023.85,0.4097465052722242,385758.8999999998,120
