Metric,DCA_AI_Hybrid,Pure_DCA_50k,Yearly_Lump_Sum
Total_Invested,1200000.0,989651.77,1182807.6400000001
Final_Value,1501968.94,1268217.0,1662773.4
Total_Return_Pct,25.16407833333333,28.147802938805434,40.578513679536236
Annualized_Return_Pct,12.285958141439423,13.65998717853465,19.224500130408995
Sharpe_Ratio,1.0326654516820823,2.3385220639680346,1.1008632103166707
Max_Drawdown_Pct,-19.224997487255166,-18.89081944802721,-26.71059091244299
DCA_Buys,22.0,N/A,N/A
AI_Trades,6.0,N/A,N/A
AI_Win_Rate_Pct,50.0,N/A,N/A
