type,buy_date,buy_price,sell_date,sell_price,return,profit,hold_days
AI,2024-08-06,20501.02,2025-02-07,23478.27,0.1452244815136028,56567.75,120
AI,2025-04-08,18459.95,2025-09-25,26023.85,0.4097465052722242,279864.29999999993,120
